license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-10145124694,Cream Cannabis,Recreational Retailer,Main Strains LLC,Recreational Retailer,47700 NW SUNSET HWY BANKS OR  97106-7607,Washington,2024-04-18,,,0,0,, 
050-1014530D0F6,Electric Lettuce Old Town,Recreational Retailer,"GW Retail NW Couch, Inc.",Recreational Retailer,214 NW COUCH ST PORTLAND OR  97209-3919,Multnomah,2025-05-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1014532539B,Electric Lettuce Tigard,Recreational Retailer,"GW Retail 11642 SW Pacific Hwy, Inc.",Recreational Retailer,"11642 SW PACIFIC HWY STE 100, TIGARD OR  97223-8852",Washington,2025-07-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1014534AF69,Buzz Box,Recreational Retailer,BTHCR PDX LLC,Recreational Retailer,6611 SE POWELL BLVD PORTLAND OR  97206-2635,Multnomah,2025-06-15,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101455619DD,SR Collective,Recreational Retailer,Christopher Shipps,Recreational Retailer,26033 SALMON RIVER HWY WILLAMINA OR  97396-9728,Yamhill,2025-02-28,,,0,0,, 
050-1014594A9CC,Discovery Cannabis,Recreational Retailer,DIXD LLC,Recreational Retailer,250 SW HIGHWAY 101 WALDPORT OR  97394-,Lincoln,2025-06-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10146522DCF,TJ's on Powell,Recreational Retailer,OpCo Retail 1 LLC,Recreational Retailer,7827 SE POWELL BLVD PORTLAND OR  97206-2350,Multnomah,2024-09-03,,,0,0,, 
050-1014653D811,TJ's On The Alley,Recreational Retailer,JV Retail 2 LLC,Recreational Retailer,1027 WILLAMETTE ST EUGENE OR  97401-3113,Lane,2024-09-03,,,0,0,, 
050-10146546503,TJ's Provisions,Recreational Retailer,"Kind Care, LLC",Recreational Retailer,1910 EMPIRE PARK DR EUGENE OR  97402-1690,Lane,2024-09-03,,,0,0,, 
050-101478142AC,Electric Lettuce Sellwood,Recreational Retailer,"GW Retail Sellwood, Inc.",Recreational Retailer,7703 SE 13TH AVE PORTLAND OR  97202-6373,Multnomah,2025-05-26,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1014846FBEA,southern oregon cannabis connection,Recreational Retailer,Iron Cross Enterprises LLC,Recreational Retailer,603 S RIVERSIDE AVE MEDFORD OR  97501-7835,Jackson,2024-03-14,,,0,0,, 
050-1014882C655,Gnome Grown Oregon,Recreational Retailer,Medicated LLC,Recreational Retailer,5012 NE 28TH AVE PORTLAND OR  97211-6339,Multnomah,2025-07-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1014898CB9E,Green Lion,Recreational Retailer,Miss Organic LLC,Recreational Retailer,1760 VIRGINIA AVE NORTH BEND OR  97459-2346,Coos,2025-06-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101503748E8,Hashstoria,Recreational Retailer,JCCD_Gladstone LLC,Recreational Retailer,"17763 82ND DR STE D, GLADSTONE OR  97027-1822",Clackamas,2024-07-28,,,0,0,, 
050-10150638165,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,9800 SE STARK ST PORTLAND OR  97216-2408,Multnomah,2024-10-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10151012B93,La Mota,Recreational Retailer,La Mota Beaverton 2 LLC,Recreational Retailer,18918 SW SHAW ST BEAVERTON OR  97078-1284,Washington,2025-07-26,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1015130EFE0,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,1180 SE 13TH AVE HILLSBORO OR  97123-,Washington,2024-11-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1015135E4D3,Green Lion,Recreational Retailer,Miss Organic LLC,Recreational Retailer,7000 SE JOHNSON CREEK BLVD PORTLAND OR  97206-9464,Multnomah,2024-10-27,,,0,0,, 
050-10151557699,Zion,Recreational Retailer,"Left Coast Canopy II, LLC",Recreational Retailer,340 SE 13TH ST ONTARIO OR  97914-3019,Malheur,2024-04-19,,,0,0,, 
050-1015197A5ED,Eden,Recreational Retailer,"HAH Oregon, LLC",Recreational Retailer,4618 Portland Rd NE # 110 SALEM OR  97305-,Marion,2024-09-16,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10152657D49,Sweet Leaf Cannabis,Recreational Retailer,SLC SPRINGFIELD LLC,Recreational Retailer,3912 MAIN ST SPRINGFIELD OR  97478-6454,Lane,2025-07-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1015330739B,Zuni Products,Recreational Retailer,"Zuni Products, Inc.",Recreational Retailer,3224 DEMARAY DR GRANTS PASS OR  97527-9327,Josephine,2024-05-11,,,0,0,, 
050-10153550A2B,"Today's Herbal Choice Milwaukie, LLC",Recreational Retailer,"Today's Herbal Choice Milwaukie, LLC",Recreational Retailer,3087 SE MONROE ST MILWAUKIE OR  97222-6636,Clackamas,2025-08-19,,,0,0,Medical Marijuana Retailer, 
050-1015404D292,Green Lion,Recreational Retailer,Miss Organic LLC,Recreational Retailer,6011 SE 72ND AVE PORTLAND OR  97206-6401,Multnomah,2025-04-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101547863F7,Cookies,Recreational Retailer,"TGC, LLC",Recreational Retailer,621 SE 7TH AVE PORTLAND OR  97214-2204,Multnomah,2024-09-21,,,0,0,, 
050-1015536CD46,Kaleafa,Recreational Retailer,"OC Joe, LLC",Recreational Retailer,19197 S MOLALLA AVE OREGON CITY OR  97045-9048,Clackamas,2024-08-03,,,0,0,, 
050-101554369CB,Home Grown Apothecary,Recreational Retailer,"Blue Heritage, LLC.",Recreational Retailer,1937 NE PACIFIC ST PORTLAND OR  97232-2211,Multnomah,2025-02-07,,,0,0,, 
050-10155684476,Going Green Eugene,Recreational Retailer,Going Green Sweet Home Inc,Recreational Retailer,439 W 1ST AVE EUGENE OR  97401-2276,Lane,2025-09-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101564175EC,Cannabis Curb,Recreational Retailer,"Oregon Yak, LLC",Recreational Retailer,4069 NE M L King Blvd Ste A PORTLAND OR  97212-,Multnomah,2025-02-07,,,0,0,, 
050-10157025C26,LUCKY LION,Recreational Retailer,2L RETAIL INCORPORATED,Recreational Retailer,14800 SE POWELL BLVD # 1 PORTLAND OR  97236-2494,Multnomah,2025-07-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1015716BDCC,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,9735 SE WASHINGTON ST PORTLAND OR  97216-2417,Multnomah,2024-09-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10157958B19,LUCKY LION,Recreational Retailer,3L RETAIL INCORPORATED,Recreational Retailer,2164 W 7TH AVE EUGENE OR  97402-7601,Lane,2025-09-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10158286B2C,Broadway Cannabis Market,Recreational Retailer,"Broadway Project, Inc.",Recreational Retailer,219 SW BROADWAY PORTLAND OR  97205-3705,Multnomah,2025-09-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10158479E34,"The Green Planet, Inc.",Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,301 W 1ST ST NEWBERG OR  97132-2401,Yamhill,2025-08-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10158844904,"NW Compassion Medical Center, Inc",Recreational Retailer,"NW Compassion Medical Center, Inc",Recreational Retailer,"1970 NE 238TH DR SUITE A & B, WOOD VILLAGE OR  97060-1136",Multnomah,2025-10-06,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10158961801,La Mota,Recreational Retailer,La Mota North Portland LLC,Recreational Retailer,9440 N SAINT LOUIS AVE PORTLAND OR  97203-2273,Multnomah,2024-11-03,,,0,0,, 
050-101590083E5,La Mota Merlin LLC,Recreational Retailer,La Mota Merlin LLC,Recreational Retailer,309 17TH ST OREGON CITY OR  97045-1032,Clackamas,2024-11-04,,,0,0,, 
050-1015901628C,La Mota,Recreational Retailer,La Mota Burnside LLC,Recreational Retailer,13828 E BURNSIDE ST PORTLAND OR  97233-1854,Multnomah,2025-01-20,,,0,0,, 
050-101590345D5,La Mota,Recreational Retailer,La Mota Myrtle Point LLC,Recreational Retailer,1994 ROSEBURG RD MYRTLE POINT OR  97458-1669,Coos,2024-09-30,,,0,0,, 
050-1015918D2F6,Weed Land Inc,Recreational Retailer,Weed Land Inc,Recreational Retailer,4027 N INTERSTATE AVE PORTLAND OR  97227-1072,Multnomah,2024-10-06,,,0,0,, 
050-1015927ADFE,Green Room (South),Recreational Retailer,COPR Incorporated,Recreational Retailer,1665 SE 3RD ST CORVALLIS OR  97333-1244,Benton,2024-12-27,,,0,0,, 
050-10159373F6B,Pure Green,Recreational Retailer,Weedmart LLC,Recreational Retailer,3108 MARINE DR ASTORIA OR  97103-2734,Clatsop,2025-02-16,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10159858AEB,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,6335 SE HARMONY RD MILWAUKIE OR  97222-2239,Clackamas,2024-12-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101605722B3,Kaleafa,Recreational Retailer,Walnut St LLC,Recreational Retailer,353 SW WALNUT ST HILLSBORO OR  97123-3941,Washington,2024-12-09,,,0,0,, 
050-10160727FB1,Klamath Falls Cannabis LLC,Recreational Retailer,Klamath Falls Cannabis LLC,Recreational Retailer,"2972 S 6TH ST SUITE A B C D, KLAMATH FALLS OR  97603-4699",Klamath,2025-07-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10160898042,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,26 N E ST LAKEVIEW OR  97630-1524,Lake,2025-10-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016124DFA1,Broadway Cannabis Market,Recreational Retailer,"Broadway Project, Inc.",Recreational Retailer,9952 SW BEAVERTON HILLSDALE HWY BEAVERTON OR  97005-3207,Washington,2025-03-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016131A101,Top Shelf Wellness Center,Recreational Retailer,3rd Bass LLC,Recreational Retailer,1925 ELM AVE MEDFORD OR  97501-1628,Jackson,2025-03-07,,,0,0,, 
050-1016133E0F5,Shango Premium Cannabis,Recreational Retailer,Bon Vivant LLC,Recreational Retailer,8056 SE HAROLD ST PORTLAND OR  97206-5148,Multnomah,2024-12-17,,,0,0,, 
050-1016162FFA8,Peach Cannabis,Recreational Retailer,Sugar Oak LLC,Recreational Retailer,1553 OAK ST EUGENE OR  97401-4008,Lane,2024-12-14,,,0,0,, 
050-1016172E2AC,Justice Cannabis Company,Recreational Retailer,"Justice Cannabis Company, LLC",Recreational Retailer,21558 Highway 99E NE AURORA OR  97002-,Marion,2024-12-21,,,0,0,, 
050-1016174005F,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,"2715 ROW RIVER RD STE A, COTTAGE GROVE OR  97424-9582",Lane,2025-07-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10161982296,Knotty Leaves,Recreational Retailer,KDL Corporation,Recreational Retailer,"769 N MAIN ST STE C, INDEPENDENCE OR  97351-2201",Polk,2024-12-09,,,0,0,, 
050-1016201C7BC,LUCKY LION,Recreational Retailer,3L RETAIL INCORPORATED,Recreational Retailer,16148 NE SANDY BLVD PORTLAND OR  97230-5014,Multnomah,2024-12-16,,,0,0,, 
050-10162085768,High Tide Wellness Center LLC.,Recreational Retailer,High Tide Wellness Center LLC,Recreational Retailer,1105 CHETCO AVE BROOKINGS OR  97415-,Curry,2025-03-14,,,0,0,, 
050-1016274AD84,Lifted Northwest,Recreational Retailer,BENJAMINSBUDZ LLC,Recreational Retailer,11121 SE DIVISION ST PORTLAND OR  97266-1115,Multnomah,2024-11-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10163048F86,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,2367 SE 122ND AVE PORTLAND OR  97233-1403,Multnomah,2025-02-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10163219ABA,Oregrown Portland,Recreational Retailer,"PDX Flagship, Inc",Recreational Retailer,111 NE 12TH AVE STE A PORTLAND OR  97232-3004,Multnomah,2025-03-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016350B982,High Lakes,Recreational Retailer,High Lakes Cannabis Company LLC,Recreational Retailer,3945 N HIGHWAY 97 KLAMATH FALLS OR  97601-9445,Klamath,2025-08-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016408A189,The Red Eye,Recreational Retailer,Hotbox Farms LLC,Recreational Retailer,833 SW 30TH ST ONTARIO OR  97914-4626,Malheur,2025-06-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016410334A,High Supply,Recreational Retailer,Hotbox Farms LLC,Recreational Retailer,482 NE 3RD ST ONTARIO OR  97914-2528,Malheur,2025-06-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101648406F4,Smiles,Recreational Retailer,"Smile Ventures, Inc.",Recreational Retailer,655 NE CHESTNUT AVE ROSEBURG OR  97470-2186,Douglas,2025-02-10,,,0,0,, 
050-1016525DC37,The Herb Center,Recreational Retailer,THC Retail LLC,Recreational Retailer,2205 NE DIVISION ST STE 150 BEND OR  97703-3548,Deschutes,2025-03-16,,,0,0,, 
050-1016536C5D3,Mr. Nice Guy Springfield,Recreational Retailer,Springfield Retail LLC,Recreational Retailer,1628 MAIN ST SPRINGFIELD OR  97477-4944,Lane,2025-05-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016538BD86,Arcanna,Recreational Retailer,Random Point LLC,Recreational Retailer,"4605 NE FREMONT ST STE 105, PORTLAND OR  97213-1708",Multnomah,2025-03-09,,,0,0,, 
050-10165853E96,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,2329 OLYMPIC ST SPRINGFIELD OR  97477-3465,Lane,2025-10-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016622D255,Dr. Jolly's,Recreational Retailer,Dr. Jolly's Industries LLC,Recreational Retailer,415 SE 3RD ST BEND OR  97702-1663,Deschutes,2025-03-31,,,0,0,, 
050-10166519CEB,Nectar; Nectar Markets,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,6714 NE SANDY BLVD PORTLAND OR  97213-5252,Multnomah,2024-08-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1016693DF27,River City Retail,Recreational Retailer,"Budz Retail, LLC",Recreational Retailer,115 GALICE RD MERLIN OR  97532-9703,Josephine,2025-03-14,,,0,0,, 
050-10167004BB9,Lit Company,Recreational Retailer,Riverglass Shop LLC,Recreational Retailer,"1252 23RD ST SE STE 120, SALEM OR  97302-1363",Marion,2025-05-16,,,0,0,Medical Marijuana Retailer, 
050-1016704544A,Budz Cannabis Superstore,Recreational Retailer,"Budz Retail, LLC",Recreational Retailer,3600 MERLIN RD GRANTS PASS OR  97526-8464,Josephine,2025-03-10,,,0,0,, 
050-10167404EEB,Canna Bros. Amity,Recreational Retailer,Riverglass Shop LLC,Recreational Retailer,108 S TRADE ST AMITY OR  97101-2808,Yamhill,2025-06-22,,,0,0,Medical Marijuana Retailer, 
050-10167486CA7,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,407 SE 162ND AVE PORTLAND OR  97233-3809,Multnomah,2025-01-04,,,0,0,, 
050-101676773B7,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,"259 E BARNETT RD STE 2, MEDFORD OR  97501-7953",Jackson,2025-02-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10167704EF2,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,4711 SW BEAVERTON HILLSDALE HWY PORTLAND OR  97221-2911,Marion,2025-02-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101677217E8,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,3514 COMMERCIAL ST SE SALEM OR  97302-3830,Marion,2025-04-03,,,0,0,, 
050-1016773ED2A,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,11300 SW BULL MOUNTAIN RD TIGARD OR  97224-2758,Washington,2024-08-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10167774072,GREENFRONT,Recreational Retailer,J.T.W. II LLC,Recreational Retailer,8138 NE SANDY BLVD PORTLAND OR  97213-7155,Multnomah,2025-05-04,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10168108EB5,Rose Budz PDX,Recreational Retailer,MSST Holdings LLC,Recreational Retailer,2410 N MISSISSIPPI AVE PORTLAND OR  97227-1709,Multnomah,2024-05-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101684733C4,Next Level Wellness,Recreational Retailer,EMERALD VALLEY OPERATIONS LLC,Recreational Retailer,2837 WILLAMETTE ST STE A EUGENE OR  97405-3291,Lane,2025-04-11,,,0,0,, 
050-10169186E09,Weedbucks,Recreational Retailer,"WEEDBUCKS, LLC",Recreational Retailer,204 MADRONE ST ROGUE RIVER OR  97537-9437,Jackson,2024-11-03,,,0,0,, 
050-1016923EE82,POPS' LLC,Recreational Retailer,POPS' LLC,Recreational Retailer,"264 6TH ST UNIT A, PORT ORFORD OR  97465-9597",Curry,2025-01-20,,,0,0,, 
050-10169436254,Top Crop Cannabis,Recreational Retailer,"Chadcor Holdings 3, LLC",Recreational Retailer,1945 NW 9TH ST CORVALLIS OR  97330-2146,Benton,2025-08-09,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10169465DE0,Floyd's,Recreational Retailer,BTE 5 LLC,Recreational Retailer,10561 SE DIVISION ST PORTLAND OR  97266-1238,Multnomah,2025-02-22,,,0,0,, 
050-1016958498D,OG Collective,Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,414 NW 4TH ST CORVALLIS OR  97330-6409,Benton,2025-06-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10170233BF0,The Spot Cannabis Collective,Recreational Retailer,"Atlas V, LLC.",Recreational Retailer,"1345 CENTER DR UNIT D, MEDFORD OR  97501-7945",Jackson,2025-02-17,,,0,0,, 
050-101702665A6,Elevation 2150,Recreational Retailer,Ontario Retail LLC,Recreational Retailer,"2876 SW 4TH AVE STE 1, ONTARIO OR  97914-1812",Malheur,2025-06-10,,,0,0,Medical Marijuana Retailer, 
050-10170361E30,La Mota,Recreational Retailer,La Mota,Recreational Retailer,"924 S CENTRAL AVE STE 2, MEDFORD OR  97501-7800",Jackson,2025-08-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10170433A1A,High Desert Flower - The Dispensary,Recreational Retailer,"High Desert Flower, Inc.",Recreational Retailer,265 SE SCOTT ST BEND OR  97702-1321,Deschutes,2025-06-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10170556BAB,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,1749 E MCANDREWS RD MEDFORD OR  97504-5508,Jackson,2025-10-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10170663A49,The Rock Dispensary,Recreational Retailer,Star Rock Inc,Recreational Retailer,1911 LANCASTER DR NE SALEM OR  97305-1041,Marion,2025-06-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10171104DF0,Kaleafa,Recreational Retailer,123 Pacific Highway LLC,Recreational Retailer,11540 SW PACIFIC HWY TIGARD OR  97223-8667,Washington,2024-07-27,,,0,0,, 
050-1017115637F,Natural Remedies,Recreational Retailer,Green Remedies LLC,Recreational Retailer,9810 E BURNSIDE ST PORTLAND OR  97216-2330,Multnomah,2025-06-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10171226BE6,Oregrown Cannon Beach,Recreational Retailer,"CB Flagship, Inc.",Recreational Retailer,215 N HEMLOCK ST CANNON BEACH OR  97110,Clatsop,2025-07-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10171352370,The Herb Center,Recreational Retailer,THC Retail LLC,Recreational Retailer,921 7TH ST OREGON CITY OR  97045-2325,Clackamas,2025-07-19,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017143AEF5,Cookies,Recreational Retailer,Hillco Asset Management LLC,Recreational Retailer,1158 HIGH ST STE 103 EUGENE OR  97401-3688,Lane,2024-08-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017168D93A,Farmer Ken's,Recreational Retailer,"Little Oak, Inc",Recreational Retailer,150 SW HIGHWAY 101 WALDPORT OR  97394-3035,Lincoln,2025-06-20,,,0,0,, 
050-1017194C683,Stokes Cannabis,Recreational Retailer,Dutches Corp,Recreational Retailer,4570 RIVER RD N KEIZER OR  97303-4646,Marion,2024-08-23,,,0,0,, 
050-10172122CAC,RE-UP,Recreational Retailer,"OCC Retail 1, LLC",Recreational Retailer,1007 S PACIFIC HWY TALENT OR  97540-9100,Jackson,2025-01-18,,,0,0,, 
050-1017243C0D9,Highly Cultivated Brands,Recreational Retailer,PNW OPERATOR LLC,Recreational Retailer,901 EDGEWATER ST NW SALEM OR  97304-3819,Polk,2024-08-10,,,0,0,, 
050-1017254B390,High Tide NW LLC,Recreational Retailer,High Tide NW LLC,Recreational Retailer,1074 VIRGINIA AVE NORTH BEND OR  97459-3434,Coos,2025-07-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017271C92C,Kush Dispensary,Recreational Retailer,Hami Group LLC,Recreational Retailer,"48122 HIGHWAY 58 # A, OAKRIDGE OR  97463-9601",Lane,2025-02-01,,,0,0,, 
050-10173159C9A,CannaKing Marijuana Dispensaries,Recreational Retailer,Epod Distribution LLC,Recreational Retailer,1449 NW MULHOLLAND DR ROSEBURG OR  97470-1914,Douglas,2025-02-15,,,0,0,, 
050-1017327FC6B,WeedAgain,Recreational Retailer,TRI Consulting & Properties LLC,Recreational Retailer,2390 FAIRGROUNDS RD NE SALEM OR  97301-0610,Marion,2025-09-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017346D1E7,Weedbucks,Recreational Retailer,"WEEDBUCKS, LLC",Recreational Retailer,330 GALICE RD MERLIN OR  97532-8754,Josephine,2025-02-06,,,0,0,, 
050-1017411BF2D,MOSS CROSSING,Recreational Retailer,MC33 LLC,Recreational Retailer,112 S PENNOYER ST STE 207 PORTLAND OR  97239-4802,Multnomah,2024-10-06,,,0,0,Marijuana Home Delivery, 
050-1017432812F,TJ's on Broadway,Recreational Retailer,JV Retail 4 LLC,Recreational Retailer,1487 BROADWAY ST NE SALEM OR  97301-1427,Marion,2025-09-16,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-1017449E2EB,Frontier Farms - The Dalles,Recreational Retailer,"Route 30 Retail, LLC",Recreational Retailer,609 E 2ND ST THE DALLES OR  97058-2415,Wasco,2025-09-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10174595F3A,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,3425 CRATER LAKE HWY MEDFORD OR  97504-9292,Jackson,2025-10-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10174806A48,"Trees Oregon, LLC",Recreational Retailer,"Trees Oregon, LLC",Recreational Retailer,3607 S CORBETT AVE PORTLAND OR  97239-4366,Multnomah,2025-01-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101748151E2,"Trees Oregon, LLC",Recreational Retailer,"Trees Oregon, LLC",Recreational Retailer,7050 NE M L KING BLVD PORTLAND OR  97211-2971,Multnomah,2025-01-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10174822DB9,Local Leaf,Recreational Retailer,THC Retail LLC,Recreational Retailer,7625 SW OLESON RD PORTLAND OR  97223-7442,Washington,2025-08-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017483E9A8,Good Life Collective,Recreational Retailer,MACH Enterprises LLC,Recreational Retailer,193 MARINE DR ASTORIA OR  97103-4346,Clatsop,2024-10-07,,,0,0,, 
050-1017498EBF0,Trees Oregon LLC,Recreational Retailer,"Trees Oregon, LLC",Recreational Retailer,1234 NE 102nd Ave Portland OR 97220,Multnomah,2024-12-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101753431B1,Wild West Emporium - Jantzen Beach,Recreational Retailer,"Wild West Emporium - Molalla - Oregon City, Inc",Recreational Retailer,11850 N CENTER AVE PORTLAND OR  97217-7830,Multnomah,2024-11-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10175503366,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,10201 SE 82ND AVE HAPPY VALLEY OR  97086-2307,Clackamas,2024-11-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017560D988,Canna Leaf Eugene Inc.,Recreational Retailer,CANNA LEAF EUGENE INC,Recreational Retailer,485 E BROADWAY EUGENE OR  97401-3307,Lane,2024-09-28,,,0,0,, 
050-1017648E8FD,CHRONIX CANNABIS DISPENSARY,Recreational Retailer,Green Monkey LLC,Recreational Retailer,933 NE 82ND AVE PORTLAND OR  97220-5804,Multnomah,2025-03-16,,,0,0,, 
050-1017674D3AA,Parlour Cannabis,Recreational Retailer,THC Retail LLC,Recreational Retailer,4702 SW SCHOLLS FERRY RD PORTLAND OR  97225-1667,Washington,2025-10-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017716E529,ABCCoop1,Recreational Retailer,Eek Inc,Recreational Retailer,633 MARKET ST MEDFORD OR  97504-6162,Jackson,2024-09-15,,,0,0,, 
050-1017795BA15,Astral Markets,Recreational Retailer,Astral Markets Inc.,Recreational Retailer,4560 COMMERCIAL ST SE SALEM OR  97302-3918,Marion,2025-05-09,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1017832BF9E,Xclusives Taste,Recreational Retailer,"Xclusives Taste Retail, LLC",Recreational Retailer,"5821 SE POWELL BLVD STE A, PORTLAND OR  97206-2857",Multnomah,2024-12-20,,,0,0,, 
050-1017934966E,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,488 N MAIN ST ASHLAND OR  97520-1706,Jackson,2024-12-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10179386307,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,"259 E BARNETT RD STE 1, MEDFORD OR  97501-7953",Jackson,2024-12-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101796000AF,Nectar; Nectar Markets,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,162 NE BEACON DR GRANTS PASS OR  97526-4260,Josephine,2024-12-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
